brand,model,model_year,mileage_mi,engine,transmission,drivetrain,fuel_type_clean,mpg,exterior_color,interior_color,accidents_or_damage,one_owner,personal_use_only,seller_name,seller_rating,driver_rating,driver_reviews_num,price_drop_usd,price_usd,data_source
Audi,RS e-tron GT Base,2022,5237,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black / Express Red,0,0,0,Audi San Diego,4.4,,0,1179,128796,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,3748,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black / Express Red,0,1,0,Maserati of Bergen County,4.9,,0,1392,135403,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,5732,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Suzuka Gray Metallic,Black / Express Red,0,1,1,Beverly Hills Porsche,4.1,,0,1400,129991,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,8114,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black / Express Red,0,0,1,Audi Melbourne,,,0,2000,119981,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,5796,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Ibis White,Black,0,1,1,Audi North Orlando,4.7,,0,5499,117500,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,323,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Kemora Gray Metallic,Gray,0,1,1,Astorg Auto of Charleston,4.8,,0,,134993,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,11630,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,Audi St. Paul,4.7,,0,1500,118499,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,9214,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black / Express Red,0,1,0,Audi Orland Park,,,0,20000,119995,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,8134,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black / Express Red,0,1,1,Porsche Fremont,4.9,,0,6002,123980,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,479,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black / Express Red,1,1,1,Driven Auto Sales,3.6,,0,5000,134980,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,1738,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Black,0,1,1,Southeast Auto Showroom,5,,0,18000,127000,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,5444,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black / Express Red,0,0,1,Marino Performance Motors,,,0,2000,125900,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,3801,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Arras Red,0,1,0,Garber Automotive Porsche Audi,4.7,,0,,131029,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,731,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Suzuka Gray Metallic,Arras Red,0,1,1,Shottenkirk Desert Lexus,2.2,,0,,133000,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,6708,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Suzuka Gray Metallic,Black / Express Red,0,1,0,SweetCars,5,,0,,129995,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2023,10002,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Ascari Blue Metallic,Black,0,1,1,AutoNation Audi Volkswagen Spokane,4.3,,0,,144995,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,6007,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Tactical Green,Santos Brown,0,1,1,Audi Tacoma,2.3,,0,110,139500,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,13841,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Kemora Gray Metallic,Black / Express Red,0,1,1,Audi Plano,4.8,,0,,124583,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,5490,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Audi Exclusive Color,Black / Express Red,0,1,1,Audi Allentown,4.5,,0,,127669,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,15889,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black,0,1,1,Audi Sarasota,4.9,,0,2818,114988,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,7008,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black / Express Red,0,1,0,Audi Flatirons,4.8,,0,1801,129000,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,506,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black / Express Red,0,0,1,Dean Team Volkswagen of Kirkwood,4.6,,0,10000,149950,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,1690,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Suzuka Gray Metallic,Arras Red,0,1,1,Mercedes-Benz of Pompano,4.5,,0,2000,129998,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,966,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Suzuka Gray Metallic,Black,0,1,1,Audi Beaverton,4.9,,0,1999,139990,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,382,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Ascari Blue Metallic,Gray,,,,HGreg.com Lux,4.7,,0,,132900,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,5347,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Kemora Gray Metallic,Black,0,1,0,BMW of Rochester Hills,,,0,697,120000,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,5569,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Suzuka Gray Metallic,Arras Red,0,1,1,Audi South Orlando,4.7,,0,6000,115991,cars_com_used_cars_762k
Audi,RS e-tron GT Base,2022,4513,Electric,2-Speed Automatic,All-wheel Drive,Electric,,Audi Exclusive Color,Black / Express Red,0,1,1,Audi Beaverton,4.9,,0,1999,142995,cars_com_used_cars_762k
Audi,RS e-tron GT quattro,2022,818,,Manual,All-wheel Drive,Electric,,Mythos Black Metallic,,0,1,1,Bosco Auto Group,2.1,,0,,134995,cars_com_used_cars_762k
Audi,e-tron S Premium Plus,2022,2397,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Navarra Blue Metallic,Black,0,1,1,Audi Wilsonville,,1,1,208,75989,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,2843,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,Audi Clearwater,4.9,1,1,4426,81569,cars_com_used_cars_762k
Audi,e-tron S Premium Plus,2022,3525,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Black,0,1,1,White Allen European Auto Group,3.1,1,1,,75990,cars_com_used_cars_762k
Audi,e-tron S Premium Plus,2022,1683,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Black,,,,Audi Plano,4.7,1,1,,66628,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,8331,Electric,Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black,0,1,1,Audi North Houston,4.3,1,1,,79991,cars_com_used_cars_762k
Audi,e-tron S Prestige,2023,1135,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Arras Red,0,1,0,Desert European Motorcars,3.8,,0,,94981,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,13487,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Siam Beige Metallic,Black,0,1,1,Steve White Volkswagen Audi - Greenville,4.5,1,1,1500,83495,cars_com_used_cars_762k
Audi,e-tron S Prestige,2023,397,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black,0,,1,Courtesy Ford - Portland,,,0,1706,101288,cars_com_used_cars_762k
Audi,e-tron S Premium Plus,2022,11592,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Black,0,1,1,Audi Ontario,4.9,1,1,6392,82496,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,343,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black,0,1,1,Audi Hoffman Estates,4.7,1,1,4000,89880,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,6157,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Black,1,1,1,Audi Fort Myers,4.6,1,1,500,85495,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,4577,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,Jaguar Land Rover Minneapolis,4.8,1,1,8000,85777,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,1642,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,Mall of Georgia MINI,4.9,1,1,1000,88986,cars_com_used_cars_762k
Audi,e-tron S Premium Plus,2022,5496,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Black,0,1,1,Colonial Chrysler Jeep Dodge RAM,4.9,1,1,,82497,cars_com_used_cars_762k
Audi,e-tron S Premium Plus,2022,14007,3 Asynchronous Electric Motors Engine,Other,All-wheel Drive,Electric,,Glacier White Metallic,Black,1,1,1,Motorcars Washington,,1,1,,78750,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,1498,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Black,0,1,1,Audi of Bedford,4.7,1,1,,79900,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,5887,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Arras Red,0,1,0,Audi Marietta,4.8,1,1,12400,81590,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,3638,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,Jim Wernig Chevrolet,,1,1,413,83500,cars_com_used_cars_762k
Audi,e-tron S Premium Plus,2022,2746,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Arras Red,0,1,1,Furrst Class Cars,3.2,1,1,496,87999,cars_com_used_cars_762k
Audi,e-tron S Prestige,2022,14500,429.0HP Electric Motor Electric Fuel System,A/T,All-wheel Drive,Electric,,White,Black,,,,,,1,1,,95000,cars_com_used_cars_762k
Audi,e-tron Sportback Premium Plus,2021,28848,Electric,Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black,0,1,1,The Audi Connection,,,0,1000,65900,cars_com_used_cars_762k
Audi,e-tron Sportback Premium Plus,2021,16251,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Siam Beige Metallic,Black,0,1,1,Greater Chicago Motors,4.4,,0,,63995,cars_com_used_cars_762k
Audi,e-tron Sportback S line Prestige,2022,7917,Electric,Automatic,All-wheel Drive,Electric,,Siam Beige Metallic,Black,0,1,1,Valenti Autocenter,,,0,,79899,cars_com_used_cars_762k
Audi,e-tron Sportback Premium Plus,2020,20807,Electric Motor,Automatic,All-wheel Drive,Electric,,Gray,Black,1,1,1,Avenue Motors,4.5,,0,1000,46900,cars_com_used_cars_762k
Audi,e-tron Sportback Prestige,2021,20697,Electric,Automatic,All-wheel Drive,Electric,,Black,,0,1,1,Audi Pembroke Pines,4.6,,0,2100,62400,cars_com_used_cars_762k
Audi,e-tron Sportback Prestige,2021,18367,Electric Motor,Automatic,All-wheel Drive,Electric,,WHITE,Black,0,1,0,Blue Knob Auto Sales,4.6,,0,2000,56998,cars_com_used_cars_762k
Audi,e-tron Sportback Premium Plus,2021,31157,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,Audi Sugar Land,3.8,,0,,56999,cars_com_used_cars_762k
Audi,e-tron Sportback S line Premium,2022,9129,Electric,Automatic,All-wheel Drive,Electric,,Plasma Blue Metallic,Black,0,1,1,BMW of the Main Line,3.9,,0,480,59995,cars_com_used_cars_762k
Audi,e-tron Sportback Premium,2021,25060,Electric Motor,Single-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Black,1,1,0,Hiley Automotive Group,,,0,,57270,cars_com_used_cars_762k
Audi,e-tron Sportback S line Prestige,2022,15500,355.0HP Electric Motor Electric Fuel System,A/T,All-wheel Drive,Electric,,White,Black,,,,,,,0,,76000,cars_com_used_cars_762k
Audi,e-tron Sportback S line Prestige,2022,10088,Electric,Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Black,0,1,1,Valenti Autocenter,,,0,,75899,cars_com_used_cars_762k
Audi,e-tron Sportback S line Premium,2022,23499,Electric,Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black,0,1,1,Audi Gwinnett,4.4,,0,500,61995,cars_com_used_cars_762k
Audi,e-tron Premium,2021,8944,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Black,0,1,0,THE COLLECTION,4.5,5,3,2975,51900,cars_com_used_cars_762k
Audi,e-tron Prestige,2021,7215,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Catalunya Red Metallic,Pearl Beige,0,1,1,Landmark Motors,,5,3,1000,68880,cars_com_used_cars_762k
Audi,e-tron Premium,2021,23708,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Navarra Blue Metallic,Black,0,0,1,Mark Kia,4.6,5,3,989,48992,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2019,32274,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Manhattan Gray Metallic,Okapi Brown,0,1,1,Audi Fletcher Jones,4.9,4.5,26,4002,43892,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,23047,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,Audi Las Vegas,4.8,4.5,26,2117,50952,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,43020,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Brilliant Black,Black,0,1,1,CarMax Norwood - Offering Express Pickup and Home Delivery,,4.5,26,1000,47998,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,19159,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Manhattan Gray Metallic,Black,0,0,1,Jaguar Land Rover South Bay,4.6,4.5,26,,52875,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2022,8295,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,Audi Natick,3.5,,0,1000,69995,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,36638,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Galaxy Blue Metallic,Black,0,1,1,Audi North Scottsdale,4.8,4.5,26,1511,47987,cars_com_used_cars_762k
Audi,e-tron Premium,2021,38303,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,Bill Luke Santan,4.8,5,3,1500,45273,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2019,13905,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Manhattan Gray Metallic,Black,0,0,1,Harper Audi,4.6,4.5,26,1666,46819,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2019,36350,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Galaxy Blue Metallic,Pearl Beige,0,0,1,Audi Fresno,4.7,4.5,26,118,50999,cars_com_used_cars_762k
Audi,e-tron Prestige,2021,3763,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black,0,1,1,eCarOne,4.8,5,3,,66950,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2019,20509,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Galaxy Blue Metallic,Pearl Beige,,,,AutoNation Volkswagen Mall of Georgia,4.6,4.5,26,,47958,cars_com_used_cars_762k
Audi,e-tron Prestige,2021,39321,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Plasma Blue Metallic,Pearl Beige,0,1,1,Gainesville Chrysler Dodge Jeep RAM,3.8,5,3,912,61000,cars_com_used_cars_762k
Audi,e-tron Premium,2022,14928,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Navarra Blue Metallic,Okapi Brown,1,1,1,BMW of Henderson,4.5,,0,1006,59992,cars_com_used_cars_762k
Audi,e-tron Premium,2021,20354,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Siam Beige Metallic,Black,0,1,1,CarMax Pleasanton - Offering Express Pickup and Home Delivery,,5,3,1000,52998,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2019,21279,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Black,0,0,0,North Coast Auto Mall of Akron,4.3,4.5,26,960,43593,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2020,23335,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,Audi El Paso,4.4,4.9,1,,55900,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,49223,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Typhoon Gray Metallic,Pearl Beige,0,1,1,Audi Tysons Corner,4.9,4.5,26,400,47740,cars_com_used_cars_762k
Audi,e-tron S line Premium,2022,5763,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Navarra Blue Metallic,Okapi Brown,0,1,1,Audi Grapevine,4.7,,0,,65000,cars_com_used_cars_762k
Audi,e-tron Premium,2022,13609,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Typhoon Gray Metallic,Black,0,1,1,Audi Marietta,4.8,,0,959,56990,cars_com_used_cars_762k
Audi,e-tron Premium,2021,19658,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,1,BMW of Ramsey,4.6,5,3,3000,52999,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,37229,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Catalunya Red Metallic,Black,0,0,1,Mercedes-Benz of San Jose,4.6,4.5,26,1960,47995,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2019,22560,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Antigua Blue Metallic,Okapi Brown,0,1,1,Momentum Maserati Alfa Romeo,4.7,4.5,26,,47950,cars_com_used_cars_762k
Audi,e-tron Premium,2021,29418,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Pearl Beige,0,0,1,Koons Annapolis Toyota,4.2,5,3,500,47500,cars_com_used_cars_762k
Audi,e-tron Premium,2021,11176,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,0,1,Audi Bethesda,4.7,5,3,145,54850,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2021,8690,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Daytona Gray Pearl Effect,Black,0,1,1,Audi Arlington,1.9,5,3,,60700,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2021,19603,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Navarra Blue Metallic,Black,0,1,1,Audi North Orlando,4.7,5,3,499,51500,cars_com_used_cars_762k
Audi,e-tron Premium,2022,11352,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Manhattan Gray Metallic,Black,0,1,0,Audi Plano,4.8,,0,,59491,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2021,19808,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Okapi Brown,0,0,1,Audi Rochester Hills,,5,3,,58500,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2021,42666,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Black,0,0,1,Audi Ontario,4.9,5,3,1278,52276,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,20936,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Manhattan Gray Metallic,Okapi Brown,0,0,1,Volkswagen Marin,4.7,4.5,26,672,52328,cars_com_used_cars_762k
Audi,e-tron Premium,2022,13795,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Chronos Gray Metallic,Flint Gray,0,1,1,Unique Auto Group,4.3,,0,,74999,cars_com_used_cars_762k
Audi,e-tron S line Premium,2022,5472,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Okapi Brown,0,1,1,Audi Nashville,3.9,,0,501,68999,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2022,10288,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Catalunya Red Metallic,Black,0,1,1,Autohaus of Peoria,2.9,,0,,59200,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2022,337,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Black,1,1,1,LeSueur Car Company,5,,0,,62977,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,33667,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Antigua Blue Metallic,Pearl Beige,0,0,1,Audi Mission Viejo,4,4.5,26,3200,47788,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2022,4720,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Brilliant Black,Okapi Brown,0,1,1,Bloomington Normal Auto-Mall,3.6,,0,1300,62499,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2020,14536,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Black,0,1,1,Audi Flatirons,4.8,4.9,1,906,58695,cars_com_used_cars_762k
Audi,e-tron Premium,2021,22500,355.0HP Electric Motor Electric Fuel System,A/T,All-wheel Drive,Electric,,Black,Black,,,,,,5,3,,53000,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2019,36072,Electric ZEV,Automatic,All-wheel Drive,Electric,,Gray,Pearl Beige,0,1,1,Acura Highland Park,4.9,4.5,26,2426,46400,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2019,30004,Electric,Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,0,1,0,Audi Gwinnett,4.4,4.5,26,200,47395,cars_com_used_cars_762k
Audi,e-tron S line Premium,2022,10910,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Black,0,1,1,Audi Clearwater,4.9,,0,1834,64743,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2021,31816,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Black,0,0,1,Porsche North Houston,4.8,5,3,,50991,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,13378,355.0HP Electric Motor Electric Fuel System,1-Speed A/T,All-wheel Drive,Electric,,Gray,Black,,,,,,4.5,26,,70000,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2021,17534,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Black,0,1,1,Hoffman Audi of East Hartford,4.6,5,3,721,52277,cars_com_used_cars_762k
Audi,e-tron Premium,2021,17891,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Navarra Blue Metallic,Black,0,1,1,Carousel Online,,5,3,1000,50999,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,45545,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Okapi Brown,0,1,1,Stevens Creek BMW,4.5,4.5,26,1001,42997,cars_com_used_cars_762k
Audi,e-tron quattro Premium Plus,2019,19462,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Black,0,1,1,Audi Wilsonville,,4.5,26,492,51201,cars_com_used_cars_762k
Audi,e-tron Premium,2021,12593,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Florett Silver Metallic,Black,0,1,0,CarMax Clackamas - Offering Express Pickup and Home Delivery,,5,3,1000,55998,cars_com_used_cars_762k
Audi,e-tron quattro Premium Plus,2019,21785,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Typhoon Gray Metallic,Black,0,1,1,Fletcher Jones Motorcars of Fremont,4.7,4.5,26,3072,45781,cars_com_used_cars_762k
Audi,e-tron Prestige,2019,33386,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Mythos Black Metallic,Black,1,1,1,Off Lease Only Palm Beach,4.9,4.5,26,3000,40899,cars_com_used_cars_762k
Audi,e-tron Premium,2022,5677,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Brilliant Black,Okapi Brown,0,1,1,Land Rover San Antonio,3.7,,0,,56900,cars_com_used_cars_762k
Audi,e-tron Premium,2021,34191,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Glacier White Metallic,Pearl Beige,1,0,1,BMW MINI of Arlington,4,5,3,,56312,cars_com_used_cars_762k
Audi,e-tron Prestige,2021,29399,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Plasma Blue Metallic,Okapi Brown,0,1,1,Mark Kia,4.6,5,3,768,60172,cars_com_used_cars_762k
Audi,e-tron Premium Plus,2019,18746,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Brilliant Black,Black,0,1,1,Boise Volkswagen,4.5,4.5,26,,50999,cars_com_used_cars_762k
